train/learning_rate,train/entropy_loss,train/value_loss,time/time_elapsed,time/total_timesteps,train/explained_variance,time/iterations,train/std,train/reward,train/n_updates,train/policy_loss,time/fps
0.0007,-42.767311096191406,7.401167392730713,80,33000,0.00010371208190917969,6600,1.0588254928588867,1.806222,6599,-110.681884765625,412
0.0007,-42.809898376464844,3.4127089977264404,81,33500,0.0,6700,1.0602236986160278,-1.9115205,6699,63.3026237487793,412
0.0007,-42.752933502197266,4.030008316040039,82,34000,5.960464477539063e-08,6800,1.058363676071167,-2.8302457,6799,78.69007873535156,412
0.0007,-42.71571350097656,2.6604859828948975,83,34500,0.0,6900,1.0573283433914185,-0.18450397,6899,-33.45800018310547,413
0.0007,-42.718894958496094,0.2668331265449524,84,35000,0.0,7000,1.0573240518569946,1.646044,6999,-0.718330979347229,413
0.0007,-42.72463607788086,5.468111991882324,85,35500,0.27320224046707153,7100,1.0575344562530518,-0.11341326,7099,83.6561050415039,413
0.0007,-42.85527801513672,17.221729278564453,87,36000,0.0,7200,1.0622423887252808,-0.22246587,7199,163.1724090576172,413
0.0007,-42.82129669189453,6.070695400238037,88,36500,0.0,7300,1.0609761476516724,1.2799516,7299,-103.71760559082031,413
0.0007,-42.8414306640625,7.062338829040527,89,37000,0.0,7400,1.0620025396347046,1.4344898,7399,-77.7931900024414,413
0.0007,-42.93494415283203,2.8088490962982178,90,37500,0.4974246621131897,7500,1.0652161836624146,-1.2907773,7499,57.92421340942383,413
0.0007,-42.90485382080078,1.285475492477417,91,38000,0.0,7600,1.0643113851547241,1.6787865,7599,-36.740745544433594,413
0.0007,-42.92005157470703,2.394176483154297,93,38500,0.0,7700,1.064774513244629,3.2862937,7699,-57.488914489746094,413
0.0007,-42.95914840698242,0.5800856351852417,94,39000,-1.1920928955078125e-07,7800,1.066166639328003,-0.6398732,7799,-24.294246673583984,413
0.0007,-42.976898193359375,5.110847473144531,95,39500,0.2712327837944031,7900,1.066843867301941,-0.59767216,7899,-85.35997009277344,413
0.0007,-43.00253677368164,7.965395927429199,96,40000,0.0,8000,1.0678234100341797,-0.42366436,7999,120.53787994384766,414
0.0007,-42.998661041259766,1.2401231527328491,97,40500,-2.384185791015625e-07,8100,1.0676875114440918,-0.04830538,8099,-41.69911575317383,414
0.0007,-42.97036361694336,0.22174541652202606,99,41000,1.3709068298339844e-06,8200,1.066721796989441,2.9225352,8199,-3.343761444091797,414
0.0007,-42.99723815917969,0.42286592721939087,100,41500,0.0,8300,1.0676310062408447,-0.04375077,8299,16.582530975341797,414
0.0007,-43.09125900268555,0.3378034234046936,101,42000,0.0,8400,1.0711709260940552,-0.18600781,8399,-13.361505508422852,414
0.0007,-43.157535552978516,1.1292927265167236,102,42500,0.0,8500,1.0737245082855225,0.16362652,8499,-42.66395568847656,414
0.0007,-43.208351135253906,7.67080545425415,103,43000,0.0,8600,1.0755693912506104,0.70850044,8599,-112.06333923339844,413
0.0007,-43.215579986572266,1.659043550491333,105,43500,0.0,8700,1.0757296085357666,-1.3468294,8699,47.878379821777344,413
0.0007,-43.25886917114258,1.6286869049072266,106,44000,0.0,8800,1.0776317119598389,-1.0851794,8799,48.22107696533203,413
0.0007,-43.31443786621094,0.22323396801948547,107,44500,0.0,8900,1.0796840190887451,0.56965643,8899,-8.566145896911621,413
0.0007,-43.37057876586914,2.4214138984680176,108,45000,0.0,9000,1.082118272781372,0.15777703,8999,-49.04762649536133,413
0.0007,-43.346900939941406,0.436054527759552,110,45500,0.0,9100,1.0809283256530762,-0.67636216,9099,-28.968795776367188,412
0.0007,-43.377532958984375,4.207216262817383,111,46000,5.960464477539063e-08,9200,1.082213044166565,-1.5280668,9199,-78.8799819946289,412
0.0007,-43.410789489746094,5.965895175933838,112,46500,1.1920928955078125e-07,9300,1.0832964181900024,0.25844845,9299,42.24834442138672,412
0.0007,-43.47014617919922,4.909064292907715,114,47000,0.0,9400,1.0856696367263794,-1.2424026,9399,70.12907409667969,411
0.0007,-43.522193908691406,1.0653016567230225,115,47500,-1.1920928955078125e-07,9500,1.0875109434127808,1.8449836,9499,-16.739757537841797,411
0.0007,-43.537757873535156,31.673076629638672,116,48000,0.0,9600,1.088276982307434,1.6113883,9599,181.35623168945312,411
0.0007,-43.58946228027344,0.5321224927902222,117,48500,1.1920928955078125e-07,9700,1.0903186798095703,-0.3014867,9699,8.053624153137207,411
0.0007,-43.633460998535156,25.110517501831055,119,49000,-1.1920928955078125e-07,9800,1.0920103788375854,-0.29049975,9799,-175.06983947753906,411
0.0007,-43.676666259765625,1.153862714767456,120,49500,0.0,9900,1.0937672853469849,0.03218426,9899,-8.342355728149414,411
0.0007,-43.749629974365234,0.41493988037109375,121,50000,0.0,10000,1.0965126752853394,-0.907002,9999,2.9414608478546143,411
