date,A2C,DDPG,PPO,TD3,SAC,Ensemble,VNINDEX
2019-08-16,9743351676.632782,10147346233.175556,9971084255.250458,10143929800.420523,9955688628.110077,10027253968.84683,10989627137.650686
2019-08-19,9764776856.75117,10137689064.443485,9972553978.161526,10138248369.48222,9967530959.880562,10022824882.7767,11001177460.050463
2019-08-20,9759854724.020393,10108220912.192398,9971602707.967522,10140579232.45836,9952341965.743282,10032898851.374453,11041996075.133165
2019-08-21,9775058018.432877,10177151811.358395,9973514660.734455,10226372603.897858,9979833164.59748,10069173704.001469,11150883095.037848
2019-08-22,9795141021.506279,10237709132.714241,9972800300.330793,10281088335.20465,10028076085.858538,10077316807.632042,11183179142.136248
2019-08-23,9784020267.237537,10190451190.560345,9970614360.331043,10256608530.868992,10001659434.285387,10075444058.234455,11129240257.91982
2019-08-26,9740220769.19511,10142491262.348442,9965132412.424303,10199335579.214523,9951270750.331894,10060072439.74758,11021923184.74909
2019-08-27,9710239474.308125,10085589567.626339,9963381003.696072,10138305321.654724,9892109692.006989,10049563781.805511,10953630501.82226
2019-08-28,9711587468.959759,10077765659.167202,9963738627.751808,10125418566.09602,9884956765.032675,10050559604.007883,10958901037.286236
2019-08-29,9743738581.715462,10085727648.458817,9968773802.909973,10134562270.78151,9931024977.743881,10054098369.172304,10973815531.258762
2019-08-30,9758566002.756924,10125498263.408745,9972568497.779505,10187816250.178844,9959977800.398968,10069884051.051552,11035155592.93524
2019-09-03,9742132322.873898,10097595915.333725,9969777650.124153,10138966339.437246,9941760751.406925,10046715297.11438,10982450238.295486
2019-09-04,9753300857.765503,10088986657.744572,9969241993.312746,10136306646.430822,9939375998.474094,10046230169.313896,10963050182.22596
2019-09-05,9731856844.123062,10068812557.677689,9965192194.032877,10109864119.848011,9911422808.844599,10042405458.78608,10953630501.82226
2019-09-06,9731910946.793964,10048903520.716345,9966904710.745333,10088164525.156746,9901969538.910484,10039720078.033163,10923240818.615084
2019-09-09,9737275850.815788,10061442721.522202,9967315851.63979,10100926147.660429,9928710198.116882,10035421065.31731,10923689374.824783
2019-09-10,9682471525.855917,10081444753.40841,9965561233.820993,10094138712.039368,9901525828.796345,10023706958.980516,10880403700.58873
2019-09-11,9666157022.891617,10116841792.180643,9967618391.371687,10135006679.322226,9879217582.116272,10034565408.791996,10869750490.608355
2019-09-12,9708822598.906734,10136230300.19568,9971973147.570122,10191362701.614397,9898936801.337116,10071785400.309044,10945556490.047659
2019-09-13,9729828508.312077,10178928603.745268,9975316758.214724,10240118006.4144,9920789161.039726,10093108300.144403,11070591533.501541
2019-09-16,9753747650.833855,10189425152.690931,9980945331.715412,10297743270.43541,9971959724.292458,10113225975.798672,11100196243.341745
2019-09-17,9766852210.407692,10220322156.090103,9986782282.511868,10336067607.587345,10002701501.223309,10131155160.15038,11177347911.410149
2019-09-18,9779560626.28566,10224540133.576336,9988970049.011053,10320155255.342701,10000768868.42567,10116658271.142977,11159517802.074572
2019-09-19,9779988241.869488,10219992275.11898,9989469854.645031,10326430502.865448,9993400628.440138,10124977783.029436,11181384917.29745
2019-09-20,9723848925.239304,10194387831.329216,9987858463.611113,10291818554.510908,9929046632.201054,10107052390.7679,11105803195.962994
2019-09-23,9765759469.039951,10147838736.816242,9989334113.945208,10237923726.55538,9951414429.406387,10083524666.047504,11054107092.795067
2019-09-24,9803003067.364874,10177345464.659916,9992221333.769001,10263891481.152542,10007323525.572285,10099633425.22535,11080796187.272217
2019-09-25,9783072206.126106,10189465444.02494,9993437878.927345,10305764902.822279,10003679991.269873,10109717677.74297,11071488645.920942
2019-09-26,9844220342.479908,10192295123.834621,10001466273.804653,10305221742.29728,10062669076.162018,10117189233.712933,11110176619.00757
2019-09-27,9859194038.689672,10236969890.949669,10004432521.38631,10363227872.053944,10076893738.53837,10140329242.958664,11189683207.176899
2019-09-30,9873652347.259727,10198315459.573717,10001352316.675404,10306730889.936258,10055023093.860474,10129278094.17944,11175329408.4665
2019-10-01,9874981083.892248,10239972513.954044,10000749718.563492,10345745529.285551,10032594316.223154,10139758148.5273,11209307541.351276
2019-10-02,9840120263.58992,10149897642.625132,9995461192.509098,10239779082.514187,9983458643.290552,10118473352.332071,11115110737.314272
2019-10-03,9861117394.573254,10175925877.228588,9998711613.887642,10268761126.683796,10009640674.920141,10115382325.831648,11129240257.91982
2019-10-04,9804784026.84127,10146090154.840405,9992728479.467691,10225452665.315407,9986603622.784275,10105231502.082617,11074740678.441269
2019-10-07,9768266373.612309,10094469673.619942,9988315903.932808,10163306952.71998,9960137969.697735,10085957691.217402,11024278104.850014
2019-10-08,9799303677.458996,10148617203.632626,9992031288.442148,10226172054.422245,9977655985.121788,10108505478.5974,11081805438.744043
