date,ensemble
2020-07-30,9907927075.389996
2020-07-31,9903895013.289028
2020-08-03,9911688138.044554
2020-08-04,9918863340.6295
2020-08-05,9922139024.60851
2020-08-06,9920845409.642729
2020-08-07,9922206810.364676
2020-08-10,9922805226.241167
2020-08-11,9925305871.494236
2020-08-12,9925612946.539663
2020-08-13,9928971616.62155
2020-08-14,9926691273.558596
2020-08-17,9929079366.475258
2020-08-18,9927637236.85471
2020-08-19,9930245584.485697
2020-08-20,9929568488.962172
2020-08-21,9937069293.834044
2020-08-24,9941964608.1225
2020-08-25,9942918262.04732
2020-08-26,9943873971.761398
2020-08-27,9947895558.827652
2020-08-28,9949329029.489462
2020-08-31,9944145765.646978
2020-09-01,9949737380.16879
2020-09-03,9959586615.244434
2020-09-04,9960574363.894344
2020-09-07,9954141519.460522
2020-09-08,9959808579.860462
2020-09-09,9960848993.665089
2020-09-10,9962647991.66216
2020-09-11,9969585131.626198
2020-09-14,9977075973.670923
2020-09-15,9979165899.141075
2020-09-16,9984749120.00594
2020-09-17,9981470423.635836
2020-09-18,9994424657.726192
2020-09-21,10001614806.511105
2020-09-22,10014810046.13004
2020-09-23,10021427744.040756
2020-09-24,10025789829.330746
2020-09-25,10023901015.717188
2020-09-28,10045995492.250532
2020-09-29,10025289848.402948
2020-09-30,10030031258.9667
2020-10-01,10044454660.58611
2020-10-02,10036924321.47852
2020-10-05,10046697333.264236
2020-10-06,10057184623.533726
2020-10-07,10051126241.076689
2020-10-08,10048615043.163036
2020-10-09,10054175311.204418
2020-10-12,10057115083.584349
2020-10-13,10063627031.975489
2020-10-14,10074948853.386286
2020-10-15,10080028888.284962
2020-10-16,10079358753.951094
2020-10-19,10088369393.84357
2020-10-20,10098091554.39975
2020-10-21,10075841804.665655
2020-10-22,10089918252.10573
2020-10-23,10090521975.28951
2020-10-26,10064639263.513954
2020-10-27,10060578451.347609
2020-10-28,10039585985.323204
2020-10-29,10037273695.547018
2020-10-30,10032042901.848228
2020-11-02,10057331330.277798
2020-11-03,10070158689.811962
2020-11-04,10072978607.91899
2020-11-05,10064382289.43897
2020-11-06,10068721747.138988
2020-11-09,10090893412.599352
2020-11-10,10084803945.04445
2020-11-11,10084973717.612465
2020-11-12,10099825180.23297
2020-11-13,10113591990.239897
2020-11-16,10101178517.772053
2020-11-17,10130527834.965572
2020-11-18,10134615994.465778
2020-11-19,10148278620.351614
2020-11-20,10160423027.712536
2020-11-23,10164132606.473663
2020-11-24,10170522220.565111
2020-11-25,10168389596.956291
2020-11-26,10183600831.242804
2020-11-27,10193905609.927826
2020-11-30,10182271214.10653
2020-12-01,10189168813.980951
2020-12-02,10196475156.761925
2020-12-03,10216310030.996449
2020-12-04,10216384631.369884
2020-12-07,10233165168.639229
2020-12-08,10251521889.973495
2020-12-09,10273524819.8631
2020-12-10,10256728719.178028
2020-12-11,10283668706.38644
2020-12-14,10322144818.620852
2020-12-15,10314692179.6666
2020-12-16,10325632111.635489
2020-12-17,10313938651.523024
2020-12-18,10360088980.62626
2020-12-21,10395997434.052776
2020-12-22,10420598536.91917
2020-12-23,10403324958.858477
2020-12-24,10389480083.846155
